adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/7TF4p86ZafnxFuNqWdhpHXFO244.jpg,"[18, 80]",769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",14.9906,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,1990-09-12,GoodFellas,False,8.455,13438
False,/sGEqHTylawwS6hwKultk1mKUjdB.jpg,"[10749, 35]",114,en,Pretty Woman,"While on a business trip in Los Angeles, Edward Lewis, a millionaire entrepreneur who makes a living buying and breaking up companies, picks up a prostitute, Vivian, while asking for directions; after, Edward hires Vivian to stay with him for the weekend to accompany him to a few social events, and the two get closer only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.",12.5051,/hVHUfT801LQATGd26VPzhorIYza.jpg,1990-03-23,Pretty Woman,False,7.463,8533
False,/zNnjHLDtV8Ti3aworltaeaLMov4.jpg,"[80, 18, 53]",242,en,The Godfather Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",10.574,/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,1990-12-25,The Godfather Part III,False,7.417,6429
False,/6nLdSON3ErniBZTXWG7WRqs5jGz.jpg,"[14, 18, 53, 9648, 10749]",251,en,Ghost,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",10.5541,/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,1990-07-13,Ghost,False,7.226,5715
False,/3Nn5BOM1EVw1IYrv6MsbOS6N1Ol.jpg,"[14, 18, 10749]",162,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,17.0515,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-07,Edward Scissorhands,False,7.718,13180
False,/7PoWlbQg7ZxgwofFRrkytvpLvJD.jpg,"[878, 28, 53]",169,en,Predator 2,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,9.4626,/83X4VwY9sdSJykskmsplIVG0a4h.jpg,1990-11-21,Predator 2,False,6.279,3471
False,/e9zfOyNd3YaViIGadiqWg9x8pAq.jpg,"[28, 12, 878]",861,en,Total Recall,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company that manufactures memories. When his memory implant goes wrong, Doug can no longer be sure what is and isn't reality.",7.1021,/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,1990-06-01,Total Recall,False,7.309,6001
False,/cDtefl7KGnKrDziEUXetMnztvqr.jpg,"[28, 53]",1573,en,Die Hard 2,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.",6.6313,/lDFO7D4MdbhjOwaPwe18QG69Rt0.jpg,1990-07-03,Die Hard 2,False,6.958,6009
False,/grXTsQ4cxBQ7DToJCl93yzA664x.jpg,"[27, 28, 878, 35]",9362,en,Tremors,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.",6.9476,/cA4ggkZ3r1d5r9hOAUWC8x5ul2i.jpg,1990-01-19,Tremors,False,6.914,3351
False,/93WDwbpnt40peVQthtBQ6U8FCjr.jpg,"[16, 28, 878, 18, 14]",39323,ja,ドラゴンボールZ たったひとりの最終決戦〜フリーザに挑んだZ戦士 孫悟空の父〜,"Bardock, Son Goku's father, is a low-ranking Saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. He witnesses the destruction of his race and must now do his best to stop Frieza's impending massacre.",6.3618,/docwOsWZuwJKQdwcYJtQPBcg6bm.jpg,1990-10-17,Dragon Ball Z: Bardock - The Father of Goku,False,7.547,730
